"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TBC1D8",2.57478448066869e-33,0.262768033091195,0.767,0.601,8.40795872162361e-29,"SPN_patch","TBC1D8"
"MIR137HG",4.98987806120469e-33,0.276877433184481,1,0.965,1.62944468088639e-28,"SPN_patch","MIR137HG"
"PTPRO",5.25203017110931e-33,0.303936541623602,0.996,0.989,1.71505045237575e-28,"SPN_patch","PTPRO"
"REV3L1",6.69909232113056e-33,0.280731258896153,0.997,0.985,2.18758859746518e-28,"SPN_patch","REV3L"
"ADAM22",1.0211021720816e-32,0.25062974720695,0.999,0.995,3.33440914293246e-28,"SPN_patch","ADAM22"
"SCN1A-AS11",1.07006787397792e-32,0.459492017513342,0.741,0.599,3.49430664247491e-28,"SPN_patch","SCN1A-AS1"
"ADORA2A",1.16859094110354e-32,0.251985944403333,0.474,0.284,3.8160337181736e-28,"SPN_patch","ADORA2A"
"PRKCE1",1.29193706884436e-32,0.34380935488869,0.982,0.983,4.21882049831126e-28,"SPN_patch","PRKCE"
"ARHGAP10",1.81121516913161e-32,0.511318384691247,0.732,0.603,5.91452313479928e-28,"SPN_patch","ARHGAP10"
"MIR124-2HG1",1.88388544715259e-32,0.296527284408469,0.876,0.78,6.15182792767678e-28,"SPN_patch","MIR124-2HG"
"AGPAT3",1.99157981166695e-32,0.261738084113003,0.721,0.55,6.50350387499841e-28,"SPN_patch","AGPAT3"
"ARHGAP20",2.47797708868098e-32,0.273813493393464,0.976,0.954,8.09183418308773e-28,"SPN_patch","ARHGAP20"
"PSME4",3.39222030887637e-32,0.383390618069007,0.922,0.905,1.10772954186358e-27,"SPN_patch","PSME4"
"SSBP3",3.5764030718221e-32,0.317494599661597,0.926,0.833,1.16787442310351e-27,"SPN_patch","SSBP3"
"TSHZ21",4.71049035298442e-32,0.385139125000827,0.686,0.52,1.53821062476706e-27,"SPN_patch","TSHZ2"
"OLFM31",7.07628309949188e-32,0.301331488473771,0.976,0.941,2.31076024613907e-27,"SPN_patch","OLFM3"
"STMN2",2.41282198862532e-31,0.345576913182363,0.885,0.811,7.87907020385599e-27,"SPN_patch","STMN2"
"FARP11",3.50286662180916e-31,0.291799410902476,0.709,0.551,1.14386109535178e-26,"SPN_patch","FARP1"
