"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"SNX9",2.20312784268916e-64,0.26313125220097,0.985,0.964,7.15377641799597e-60,"eSPN","SNX9",0.021,0.00552575629622037
"NYAP2",3.63430666104819e-63,0.266502880625472,0.992,0.978,1.18009571590896e-58,"eSPN","NYAP2",0.014,0.00373104032875661
"PLXNA4",5.23931599404833e-61,0.257425409398791,1,0.989,1.70125829642743e-56,"eSPN","PLXNA4",0.011,0.0028316795033867
"CBLB",2.58913924430697e-60,0.257594566017526,0.972,0.92,8.40719404018917e-56,"eSPN","CBLB",0.0519999999999999,0.0133949174329113
"FAM78B",3.96686335737046e-60,0.254681943277512,0.927,0.84,1.28808020077176e-55,"eSPN","FAM78B",0.0870000000000001,0.0221573290651436
"LRP12",4.51466973686996e-60,0.250504975398003,0.998,0.977,1.46595841025904e-55,"eSPN","LRP12",0.021,0.00526060448335806
"PER3",1.09056402728564e-59,0.272990424515638,0.968,0.913,3.54117045299921e-55,"eSPN","PER3",0.0549999999999999,0.0150144733483601
"ALCAM",1.63449243450243e-58,0.343369110937906,0.999,0.979,5.30736038407285e-54,"eSPN","ALCAM",0.02,0.00686738221875813
"ABL2",3.22411084878387e-58,0.255311777992804,1,0.993,1.04690103370861e-53,"eSPN","ABL2",0.00700000000000001,0.00178718244594963
"ZNF827",1.84533135309263e-57,0.290853777187918,0.984,0.968,5.99197543662707e-53,"eSPN","ZNF827",0.016,0.00465366043500669
"STMN2",5.93362564487257e-54,0.268540487599826,0.976,0.938,1.92670758314657e-49,"eSPN","STMN2",0.038,0.0102045385287934
"LRRC8B",1.14034491842324e-53,0.254867013491962,0.994,0.975,3.7028139846121e-49,"eSPN","LRRC8B",0.019,0.00484247325634729
"CADM1",1.51430059473007e-49,0.340578518794573,0.998,0.996,4.91708546114801e-45,"eSPN","CADM1",0.002,0.000681157037589146
"MALRD1",1.4448299691604e-45,0.299743558162846,0.38,0.222,4.69150739286072e-41,"eSPN","MALRD1",0.158,0.0473594821897297
"PRKD1",7.88594574841712e-44,0.303037318381339,0.989,0.973,2.56064544396852e-39,"eSPN","PRKD1",0.016,0.00484859709410143
"MT-ND1",7.00500073896824e-20,0.447270777516361,0.905,0.841,2.27459378995038e-15,"eSPN","MT-ND1",0.0640000000000001,0.0286253297610471
"MT-ND2",1.00087185348202e-16,0.416433473346358,0.924,0.881,3.24993099544146e-12,"eSPN","MT-ND2",0.043,0.0179066393538934
"MT-ND3",4.46478029358495e-14,0.730070997159592,0.94,0.905,1.44975880912997e-09,"eSPN","MT-ND3",0.0349999999999999,0.0255524849005857
