"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC007368.1",0,0.723155848488481,0.259,0.001,0,"non-SPN","AC007368.1"
"LPP",0,0.721853147581034,0.874,0.618,0,"non-SPN","LPP"
"TRIM2",0,0.721747325131212,0.994,0.956,0,"non-SPN","TRIM2"
"PXDNL",0,0.720632919073115,0.538,0.285,0,"non-SPN","PXDNL"
"BRINP2",0,0.720095067300502,0.502,0.275,0,"non-SPN","BRINP2"
"VSTM2A",0,0.718636657740617,0.634,0.275,0,"non-SPN","VSTM2A"
"PAK3",0,0.718467833775172,0.997,0.984,0,"non-SPN","PAK3"
"TAC3",0,0.717272870318059,0.278,0.01,0,"non-SPN","TAC3"
"NAV1",0,0.713451993679646,0.871,0.657,0,"non-SPN","NAV1"
"PLPP4",0,0.711330678593123,0.338,0,0,"non-SPN","PLPP4"
"ROR1",0,0.70984557112364,0.317,0.02,0,"non-SPN","ROR1"
"PRNP",0,0.70947228849868,0.962,0.837,0,"non-SPN","PRNP"
"PKNOX2",0,0.703062078054286,0.759,0.444,0,"non-SPN","PKNOX2"
"AC067956.1",0,0.702028645659185,0.322,0.048,0,"non-SPN","AC067956.1"
"BTBD11",0,0.700080026334391,0.507,0.094,0,"non-SPN","BTBD11"
"ATP6V0C",0,0.698962961160141,0.624,0.348,0,"non-SPN","ATP6V0C"
"MBOAT2",0,0.692767537006671,0.909,0.68,0,"non-SPN","MBOAT2"
"DPF3",0,0.690146966663938,0.406,0.001,0,"non-SPN","DPF3"
"ADAMTS20",0,0.689790922839315,0.381,0.004,0,"non-SPN","ADAMTS20"
"NPTXR",0,0.689511472579583,0.578,0.135,0,"non-SPN","NPTXR"
"KIFAP3",0,0.689507429623165,0.998,0.961,0,"non-SPN","KIFAP3"
"AHI1",0,0.68918763858054,1,0.997,0,"non-SPN","AHI1"
"LINC00461",0,0.687476880657096,0.97,0.901,0,"non-SPN","LINC00461"
"CRABP1",0,0.685933528525563,0.46,0.004,0,"non-SPN","CRABP1"
"TIMP2",0,0.685903846460338,0.524,0.001,0,"non-SPN","TIMP2"
"AUXG01000058.1",0,0.685675343654972,0.69,0.428,0,"non-SPN","AUXG01000058.1"
"SIAH3",0,0.684457150660516,0.484,0.174,0,"non-SPN","SIAH3"
"KHDRBS31",0,0.68291648857599,0.701,0.421,0,"non-SPN","KHDRBS3"
