"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"ANTXR1",2.6193468916364e-215,0.441132590835272,0.915,0.859,8.50528129183256e-211,"non-SPN","ANTXR1",0.056,0.0247034250867752
"USP6NL",2.92050586187734e-215,0.255757803051316,0.5,0.264,9.4831745841019e-211,"non-SPN","USP6NL",0.236,0.0603588415201107
"RNF175",3.35957184369986e-215,0.338697566239248,0.983,0.946,1.09088657336778e-210,"non-SPN","RNF175",0.037,0.0125318099508522
"NNT",6.72599063973059e-215,0.303453676672664,0.99,0.966,2.18399642062692e-210,"non-SPN","NNT",0.024,0.00728288824014395
"VEZT",1.83614956502864e-214,0.289643123637041,0.998,0.994,5.9621612526045e-210,"non-SPN","VEZT",0.004,0.00115857249454817
"AOPEP",4.23246206996989e-214,0.324474653631087,0.997,0.996,1.37432275873992e-209,"non-SPN","AOPEP",0.001,0.000324474653631087
"TUBB2A",1.18964415723179e-213,0.291442648977097,0.529,0.302,3.86289354294735e-209,"non-SPN","TUBB2A",0.227,0.066157481317801
"RECK",1.87753560731146e-213,0.28224673164226,0.9,0.772,6.09654587050103e-209,"non-SPN","RECK",0.128,0.0361275816502093
"NAP1L4",5.96718426101967e-213,0.254323667088661,0.96,0.901,1.9376044013957e-208,"non-SPN","NAP1L4",0.0589999999999999,0.015005096358231
"ERO1B",7.09560950552587e-213,0.318538122236536,0.936,0.869,2.30401536253931e-208,"non-SPN","ERO1B",0.0670000000000001,0.0213420541898479
"ZNF704",2.14951096806253e-212,0.409788360109116,0.994,0.98,6.97967706439585e-208,"non-SPN","ZNF704",0.014,0.00573703704152763
"USP31",2.33425527873977e-212,0.260422865547536,0.837,0.705,7.5795603155959e-208,"non-SPN","USP31",0.132,0.0343758182522747
"ORC4",2.47783992218793e-212,0.293134115066074,0.99,0.951,8.04579401133644e-208,"non-SPN","ORC4",0.039,0.0114322304875769
"FEM1B",3.16294037390567e-212,0.258336750838119,0.7,0.503,1.02703836881091e-207,"non-SPN","FEM1B",0.197,0.0508923399151095
"EPM2A",3.57649428187339e-212,0.359462438036581,0.775,0.586,1.16132345826711e-207,"non-SPN","EPM2A",0.189,0.0679384007889138
"VPS8",1.12550015834011e-211,0.320637762476143,0.996,0.976,3.65461156414618e-207,"non-SPN","VPS8",0.02,0.00641275524952287
"FBXL13",2.10599701380913e-211,0.316481262150583,0.687,0.488,6.83838290353964e-207,"non-SPN","FBXL13",0.199,0.062979771167966
"DYNLL2",4.13319953023397e-211,0.267718878573742,0.821,0.657,1.34209121946227e-206,"non-SPN","DYNLL2",0.164,0.0439058960860936
"ELOVL6",5.94516740858324e-211,0.318247135285033,0.936,0.852,1.93045530924106e-206,"non-SPN","ELOVL6",0.0840000000000001,0.0267327593639428
"PCNX4",1.22831759603809e-209,0.309231158435349,0.973,0.928,3.9884700660953e-205,"non-SPN","PCNX4",0.0449999999999999,0.0139154021295907
"ATP8B4",1.41825254339097e-209,0.261433439642359,0.346,0.135,4.60520783364482e-205,"non-SPN","ATP8B4",0.211,0.0551624557645378
"KIAA0513",6.71458073328109e-209,0.251353634731931,0.846,0.712,2.1802915099037e-204,"non-SPN","KIAA0513",0.134,0.0336813870540787
